beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,index
3,2.0,1444.0,sqft,675.0,sqft,98144,750000.0,252
4,2.5,2658.0,sqft,5038.0,sqft,98136,1375888.0,253
4,2.5,2750.0,sqft,2250.0,sqft,98122,849995.0,256
3,2.5,1546.0,sqft,1600.0,sqft,98106,720000.0,258
4,2.0,2868.0,sqft,5250.0,sqft,98103,1550000.0,261
3,2.0,1279.0,sqft,4400.0,sqft,98118,699000.0,263
4,2.0,2278.0,sqft,5080.0,sqft,98117,1550000.0,264
3,2.0,1496.0,sqft,43560.0,sqft,98144,843000.0,266
3,3.0,2502.0,sqft,6401.0,sqft,98117,995000.0,269
4,3.5,4460.0,sqft,72309.59999999999,sqft,98177,2550000.0,274
4,2.0,2350.0,sqft,6950.0,sqft,98118,715000.0,275
4,2.5,2420.0,sqft,6590.0,sqft,98117,1310000.0,277
3,2.0,1140.0,sqft,3028.0,sqft,98136,780000.0,283
3,3.0,2240.0,sqft,6700.0,sqft,98117,650000.0,284
4,3.0,1991.0,sqft,806.0,sqft,98102,1050000.0,286
3,2.5,1940.0,sqft,5962.0,sqft,98116,1172000.0,287
4,2.0,2610.0,sqft,10890.0,sqft,98117,875000.0,293
3,2.0,1920.0,sqft,6250.0,sqft,98126,980000.0,295
3,2.5,1540.0,sqft,1116.0,sqft,98103,875000.0,296
3,2.0,1460.0,sqft,2500.0,sqft,98117,823000.0,297
3,2.5,2450.0,sqft,5000.0,sqft,98126,1080000.0,299
4,2.0,1670.0,sqft,9800.0,sqft,98125,960000.0,303
4,3.0,2140.0,sqft,5400.0,sqft,98126,805000.0,304
3,2.5,1650.0,sqft,1485.0,sqft,98103,975000.0,305
4,3.5,3210.0,sqft,8919.0,sqft,98136,1750000.0,307
4,2.5,2030.0,sqft,1744.0,sqft,98144,1025000.0,310
3,2.0,1700.0,sqft,5750.0,sqft,98126,835000.0,315
3,2.5,1550.0,sqft,1031.0,sqft,98102,840000.0,317
3,2.5,1210.0,sqft,1546.0,sqft,98108,565000.0,321
3,3.0,1710.0,sqft,3994.0,sqft,98133,659000.0,328
3,2.5,1440.0,sqft,1330.0,sqft,98117,750000.0,329
3,3.5,1790.0,sqft,1800.0,sqft,98144,1027000.0,330
3,2.0,2550.0,sqft,8253.0,sqft,98178,650000.0,331
3,2.0,1561.0,sqft,964.0,sqft,98125,670000.0,334
4,2.5,2610.0,sqft,3520.0,sqft,98112,1715000.0,336
3,3.0,2280.0,sqft,7362.0,sqft,98117,1150000.0,338
3,2.0,1699.0,sqft,3994.0,sqft,98121,1299000.0,341
3,2.5,1550.0,sqft,1132.0,sqft,98122,1090000.0,346
3,2.5,1290.0,sqft,1474.0,sqft,98108,585000.0,347
3,2.5,2420.0,sqft,4500.0,sqft,98103,1048000.0,349
3,2.0,1850.0,sqft,4050.0,sqft,98178,627000.0,351
3,2.0,1481.0,sqft,1316.0,sqft,98103,1040000.0,357
4,2.0,1920.0,sqft,5500.0,sqft,98118,670000.0,359
3,2.5,1870.0,sqft,5110.0,sqft,98125,700000.0,360
3,3.0,1560.0,sqft,5760.0,sqft,98106,699950.0,364
3,2.5,1468.0,sqft,1054.0,sqft,98103,809950.0,369
4,3.5,2500.0,sqft,5000.0,sqft,98103,1104000.0,370
3,3.0,2360.0,sqft,8480.0,sqft,98115,1210000.0,371
4,3.5,2199.0,sqft,3994.0,sqft,98117,1560000.0,373
3,2.0,1730.0,sqft,7500.0,sqft,98168,386000.0,374
3,2.5,1604.0,sqft,1120.0,sqft,98144,769999.0,378
3,2.5,1786.0,sqft,960.0,sqft,98103,970000.0,379
4,2.5,2410.0,sqft,6000.0,sqft,98105,2000000.0,383
4,2.5,2610.0,sqft,6109.0,sqft,98117,1160000.0,385
4,2.5,2680.0,sqft,6240.0,sqft,98199,1800000.0,386
4,3.0,2240.0,sqft,7700.0,sqft,98178,840000.0,388
4,3.5,3500.0,sqft,5350.0,sqft,98199,2000000.0,389
3,2.0,1703.0,sqft,1247.0,sqft,98117,943000.0,390
3,2.0,2600.0,sqft,8160.0,sqft,98177,1195000.0,391
3,2.0,1200.0,sqft,3500.0,sqft,98107,685000.0,392
4,2.0,2570.0,sqft,3840.0,sqft,98119,1550000.0,395
4,3.0,2480.0,sqft,4500.0,sqft,98117,1270000.0,396
4,3.5,2054.0,sqft,2050.0,sqft,98103,1165000.0,397
4,2.5,1830.0,sqft,5162.0,sqft,98125,1050000.0,398
4,3.0,2280.0,sqft,5000.0,sqft,98117,1275000.0,401
4,2.5,3470.0,sqft,4000.0,sqft,98102,1100000.0,403
4,3.5,2840.0,sqft,2957.0,sqft,98178,720000.0,407
3,3.0,2010.0,sqft,7104.0,sqft,98115,925000.0,408
3,3.0,3004.0,sqft,5123.0,sqft,98112,1450000.0,415
4,3.0,2960.0,sqft,6000.0,sqft,98108,970000.0,419
4,3.5,2510.0,sqft,43560.0,sqft,98103,1625000.0,422
3,2.5,2740.0,sqft,4000.0,sqft,98108,489000.0,427
3,2.0,1740.0,sqft,6250.0,sqft,98199,1425000.0,430
4,3.5,3780.0,sqft,4360.0,sqft,98115,1875000.0,432
3,3.0,2910.0,sqft,9612.0,sqft,98125,1249900.0,435
3,3.0,1419.0,sqft,951.0,sqft,98122,861955.0,436
4,2.0,2800.0,sqft,35719.2,sqft,98178,675000.0,437
3,2.5,1520.0,sqft,1246.0,sqft,98107,975000.0,439
3,2.5,1570.0,sqft,980.0,sqft,98102,955000.0,440
3,2.0,1660.0,sqft,5120.0,sqft,98106,805000.0,442
3,2.5,1800.0,sqft,2516.0,sqft,98108,655000.0,445
3,2.5,1510.0,sqft,3576.0,sqft,98136,880000.0,446
3,2.5,1630.0,sqft,4850.0,sqft,98107,1060000.0,448
3,3.5,1319.0,sqft,1149.0,sqft,98119,875000.0,449
3,2.5,2695.0,sqft,6324.0,sqft,98115,1345000.0,450
4,3.5,2380.0,sqft,4000.0,sqft,98106,830000.0,453
3,3.5,2938.0,sqft,9224.0,sqft,98136,1350000.0,454
3,2.0,2730.0,sqft,7200.0,sqft,98117,1150000.0,456
3,2.5,2350.0,sqft,6180.0,sqft,98115,1625000.0,459
4,3.5,4420.0,sqft,4188.0,sqft,98199,2350000.0,463
3,2.0,1200.0,sqft,5700.0,sqft,98178,624950.0,466
3,2.0,1410.0,sqft,4387.0,sqft,98115,1035000.0,467
3,2.5,1810.0,sqft,9409.0,sqft,98125,899000.0,471
3,2.0,1800.0,sqft,7280.0,sqft,98178,575000.0,473
4,2.0,1860.0,sqft,5700.0,sqft,98103,1350000.0,476
4,3.0,2527.0,sqft,4800.0,sqft,98122,1375000.0,479
3,2.5,1054.0,sqft,2246.0,sqft,98115,815000.0,481
4,3.0,2290.0,sqft,18295.2,sqft,98146,685000.0,483
4,2.0,2260.0,sqft,4200.0,sqft,98106,760000.0,484
4,2.5,1544.0,sqft,1561.0,sqft,98117,975000.0,489
3,3.0,1650.0,sqft,7883.0,sqft,98178,591995.0,491
4,3.0,2310.0,sqft,5120.0,sqft,98136,1100000.0,493
4,2.5,2880.0,sqft,6210.0,sqft,98115,1900000.0,494
3,2.5,2275.0,sqft,3606.0,sqft,98122,1528000.0,497
3,2.5,1390.0,sqft,1570.0,sqft,98126,575000.0,502
3,2.5,2950.0,sqft,20473.199999999997,sqft,98118,3105000.0,503
3,2.0,1301.0,sqft,3000.0,sqft,98103,895000.0,505
3,2.5,2590.0,sqft,6000.0,sqft,98144,795000.0,1
4,2.0,2240.0,sqft,13503.6,sqft,98106,915000.0,2
4,3.0,2040.0,sqft,3783.0,sqft,98107,950000.0,3
4,3.0,3800.0,sqft,5175.0,sqft,98199,1950000.0,4
3,2.5,1520.0,sqft,741.0,sqft,98108,565000.0,9
4,2.0,2340.0,sqft,9500.0,sqft,98178,699000.0,10
3,2.0,1320.0,sqft,1386.0,sqft,98103,899000.0,11
3,2.0,1800.0,sqft,3993.0,sqft,98177,1050000.0,12
3,2.5,2490.0,sqft,5757.0,sqft,98103,935625.0,13
4,3.0,2650.0,sqft,6380.0,sqft,98115,1511000.0,14
3,3.5,1360.0,sqft,3872.0,sqft,98103,700000.0,17
3,2.5,2974.0,sqft,3840.0,sqft,98119,1750000.0,19
4,3.5,1989.0,sqft,1607.0,sqft,98117,980000.0,20
4,3.0,2668.0,sqft,5589.0,sqft,98116,1213000.0,22
3,2.0,3140.0,sqft,5000.0,sqft,98117,1219700.0,28
4,2.0,2000.0,sqft,8077.0,sqft,98125,907200.0,29
3,2.5,1690.0,sqft,1733.0,sqft,98108,760000.0,31
3,3.0,1550.0,sqft,1400.0,sqft,98115,950000.0,33
3,2.0,1770.0,sqft,3349.0,sqft,98146,805000.0,37
3,2.5,1500.0,sqft,1056.0,sqft,98103,1070000.0,41
3,2.0,2817.0,sqft,6375.0,sqft,98103,912000.0,43
4,2.5,2280.0,sqft,3932.0,sqft,98106,1065000.0,48
4,3.5,2478.0,sqft,2761.0,sqft,98115,1580000.0,50
3,3.0,2360.0,sqft,6600.0,sqft,98117,1775000.0,51
3,2.0,2480.0,sqft,5829.0,sqft,98126,800000.0,53
3,2.0,1550.0,sqft,6720.0,sqft,98199,1100000.0,54
3,2.0,1731.0,sqft,7514.0,sqft,98125,575000.0,59
3,2.5,1500.0,sqft,8240.0,sqft,98105,860000.0,60
4,2.0,2100.0,sqft,4864.0,sqft,98117,950000.0,67
3,2.5,2620.0,sqft,4080.0,sqft,98119,1300000.0,68
3,2.0,1270.0,sqft,1333.0,sqft,98103,727000.0,69
3,2.0,2702.0,sqft,6600.0,sqft,98103,1605000.0,70
4,3.5,2031.0,sqft,43560.0,sqft,98117,1480000.0,71
3,2.0,2350.0,sqft,7320.0,sqft,98178,888000.0,72
3,3.5,1510.0,sqft,1239.0,sqft,98103,660000.0,80
4,2.5,2580.0,sqft,11325.6,sqft,98146,1635000.0,82
3,2.0,1496.0,sqft,43560.0,sqft,98144,910000.0,86
4,3.5,2670.0,sqft,3405.0,sqft,98118,1022700.0,87
3,2.0,1960.0,sqft,5000.0,sqft,98105,950000.0,93
4,3.0,2110.0,sqft,10454.4,sqft,98133,760000.0,94
4,3.5,3010.0,sqft,4000.0,sqft,98106,985000.0,95
3,2.5,1820.0,sqft,176418.0,sqft,98118,690000.0,97
3,2.0,1800.0,sqft,6180.0,sqft,98118,936000.0,99
3,3.0,1450.0,sqft,525.0,sqft,98117,750000.0,101
4,2.0,2400.0,sqft,5400.0,sqft,98119,1385000.0,104
4,3.5,3057.0,sqft,7650.0,sqft,98117,1800000.0,106
3,2.0,1720.0,sqft,5000.0,sqft,98199,855000.0,110
3,3.5,2650.0,sqft,8500.0,sqft,98136,1095000.0,111
4,2.5,2550.0,sqft,5000.0,sqft,98115,1560000.0,113
4,2.0,1910.0,sqft,6000.0,sqft,98168,630000.0,116
4,3.5,2661.0,sqft,4081.0,sqft,98108,1165000.0,120
4,3.0,2250.0,sqft,5250.0,sqft,98115,1150000.0,122
3,3.5,1370.0,sqft,982.0,sqft,98117,699500.0,124
4,3.5,3040.0,sqft,16988.4,sqft,98177,1495000.0,127
4,3.5,2000.0,sqft,1532.0,sqft,98115,870000.0,137
3,3.5,1470.0,sqft,1375.0,sqft,98117,845000.0,138
4,2.0,2230.0,sqft,5940.0,sqft,98125,925000.0,140
3,2.5,1670.0,sqft,3872.0,sqft,98178,600000.0,142
3,2.0,1880.0,sqft,3200.0,sqft,98144,911000.0,144
4,2.5,2400.0,sqft,3200.0,sqft,98109,1595000.0,150
3,3.5,1670.0,sqft,3872.0,sqft,98178,600000.0,151
3,2.5,2734.0,sqft,4000.0,sqft,98109,1605200.0,152
3,2.5,1670.0,sqft,1687.0,sqft,98117,865000.0,153
3,3.0,1530.0,sqft,2260.0,sqft,98126,745000.0,154
3,2.0,2370.0,sqft,4865.0,sqft,98126,1200000.0,158
3,2.0,1590.0,sqft,8937.0,sqft,98106,720000.0,161
3,2.0,1630.0,sqft,6000.0,sqft,98168,630000.0,168
3,2.0,1806.0,sqft,4400.0,sqft,98126,799000.0,170
4,2.5,3060.0,sqft,4590.0,sqft,98115,1450000.0,171
3,2.5,2350.0,sqft,7200.0,sqft,98115,1582800.0,174
3,2.5,2080.0,sqft,9880.0,sqft,98117,977000.0,175
4,3.0,2230.0,sqft,9625.0,sqft,98178,1205000.0,178
3,2.0,1286.0,sqft,870.0,sqft,98136,738000.0,184
4,2.0,2370.0,sqft,5000.0,sqft,98115,1350000.0,193
4,2.5,2200.0,sqft,5146.0,sqft,98106,825000.0,194
4,2.0,2080.0,sqft,7200.0,sqft,98178,675000.0,198
3,3.5,1467.0,sqft,3872.0,sqft,98144,859990.0,205
4,2.0,1910.0,sqft,5166.0,sqft,98106,685000.0,206
3,2.5,1563.0,sqft,1950.0,sqft,98118,839950.0,207
4,3.0,2390.0,sqft,3600.0,sqft,98119,1300000.0,209
3,3.0,1940.0,sqft,5000.0,sqft,98199,450000.0,212
4,3.0,1680.0,sqft,3080.0,sqft,98117,905000.0,215
3,2.5,2304.0,sqft,5000.0,sqft,98117,1100000.0,218
4,3.0,2840.0,sqft,9996.0,sqft,98177,1350000.0,221
4,3.5,1824.0,sqft,3250.0,sqft,98103,1299000.0,225
4,3.0,2478.0,sqft,4001.0,sqft,98105,2095000.0,227
3,2.0,1520.0,sqft,4000.0,sqft,98117,760000.0,231
3,2.5,1380.0,sqft,2250.0,sqft,98106,590000.0,232
4,2.0,1750.0,sqft,4950.0,sqft,98105,1025000.0,234
3,2.5,3590.0,sqft,4250.0,sqft,98103,1725000.0,235
3,2.0,1380.0,sqft,2909.0,sqft,98117,800000.0,241
3,2.5,2000.0,sqft,7440.0,sqft,98106,799000.0,245
3,2.0,2029.0,sqft,3872.0,sqft,98115,685000.0,246
4,3.0,1180.0,sqft,4650.0,sqft,98117,956300.0,248
3,2.0,1920.0,sqft,3154.0,sqft,98199,1067000.0,249
3,2.0,1460.0,sqft,5005.0,sqft,98106,583000.0,253
3,2.5,2500.0,sqft,4305.0,sqft,98117,1685000.0,254
3,2.5,1540.0,sqft,1037.0,sqft,98122,852500.0,255
3,2.5,1520.0,sqft,1062.0,sqft,98106,540700.0,258
4,3.0,2190.0,sqft,5136.0,sqft,98126,860000.0,260
4,3.5,2780.0,sqft,4000.0,sqft,98112,950000.0,263
3,2.5,1566.0,sqft,1602.0,sqft,98122,875000.0,266
3,2.5,1190.0,sqft,1290.0,sqft,98144,750000.0,268
4,3.0,2380.0,sqft,4635.0,sqft,98115,1399999.0,271
3,2.5,1712.0,sqft,1215.0,sqft,98117,910000.0,273
3,2.0,1098.0,sqft,2320.0,sqft,98105,864950.0,275
3,3.0,1250.0,sqft,6350.0,sqft,98117,815000.0,276
4,2.0,1595.0,sqft,5500.0,sqft,98118,525000.0,279
3,3.0,2380.0,sqft,5000.0,sqft,98136,1230000.0,280
3,2.5,1465.0,sqft,2973.0,sqft,98119,1175000.0,282
4,2.0,2910.0,sqft,8360.0,sqft,98115,1400000.0,283
3,2.0,1580.0,sqft,6400.0,sqft,98126,942000.0,286
3,2.5,1396.0,sqft,4800.0,sqft,98136,780000.0,291
4,2.0,2340.0,sqft,7500.0,sqft,98115,925000.0,293
4,3.0,2980.0,sqft,4480.0,sqft,98105,1090000.0,295
4,2.5,1850.0,sqft,2856.0,sqft,98108,945000.0,299
3,2.0,1606.0,sqft,900.0,sqft,98109,1450000.0,302
3,2.5,1815.0,sqft,1500.0,sqft,98103,1295000.0,303
4,2.0,2220.0,sqft,9295.0,sqft,98177,995000.0,305
3,2.0,1460.0,sqft,4590.0,sqft,98117,888000.0,307
3,3.5,2480.0,sqft,2400.0,sqft,98119,1795000.0,309
3,2.0,1760.0,sqft,4000.0,sqft,98106,689000.0,319
3,2.5,1712.0,sqft,1514.0,sqft,98107,970000.0,320
4,2.5,3190.0,sqft,5500.0,sqft,98102,1820000.0,321
3,2.5,2600.0,sqft,5100.0,sqft,98117,1148000.0,327
3,2.0,2130.0,sqft,4850.0,sqft,98107,990200.0,328
3,3.5,2899.0,sqft,5346.0,sqft,98199,1800000.0,329
4,2.5,2240.0,sqft,5229.0,sqft,98117,1050000.0,332
3,2.0,1560.0,sqft,4960.0,sqft,98106,799000.0,334
4,2.0,1730.0,sqft,8100.0,sqft,98146,852000.0,335
3,2.0,1700.0,sqft,5346.0,sqft,98115,1150000.0,336
4,3.5,1909.0,sqft,1544.0,sqft,98103,1500000.0,337
3,2.0,2180.0,sqft,3740.0,sqft,98117,1012000.0,338
3,3.0,1460.0,sqft,7200.0,sqft,98144,1000000.0,340
4,2.0,2740.0,sqft,6000.0,sqft,98119,1400000.0,349
3,2.0,1670.0,sqft,5400.0,sqft,98118,485000.0,350
3,3.5,2530.0,sqft,1880.0,sqft,98102,1299000.0,353
4,3.0,2660.0,sqft,5100.0,sqft,98117,1360000.0,354
4,2.0,2820.0,sqft,4764.0,sqft,98117,1441000.0,355
3,2.0,1540.0,sqft,1102.0,sqft,98144,630000.0,359
3,3.5,1968.0,sqft,1498.0,sqft,98199,980000.0,361
3,2.0,2980.0,sqft,5800.0,sqft,98115,1415000.0,366
3,2.0,2020.0,sqft,7200.0,sqft,98133,917500.0,368
3,2.5,1926.0,sqft,1483.0,sqft,98122,1148000.0,369
3,2.0,2410.0,sqft,4950.0,sqft,98199,1083000.0,371
3,3.0,1630.0,sqft,6721.0,sqft,98168,615000.0,374
4,2.5,2370.0,sqft,3600.0,sqft,98146,750000.0,375
3,2.0,1996.0,sqft,4656.0,sqft,98117,986500.0,378
3,2.0,1580.0,sqft,6396.0,sqft,98126,820000.0,379
4,2.0,2360.0,sqft,6120.0,sqft,98115,950000.0,382
3,2.0,1496.0,sqft,43560.0,sqft,98144,824500.0,383
4,2.5,2380.0,sqft,5000.0,sqft,98105,1900000.0,387
4,2.5,1544.0,sqft,2352.0,sqft,98117,850000.0,391
4,3.0,2067.0,sqft,43560.0,sqft,98122,1074900.0,393
4,3.0,2360.0,sqft,7200.0,sqft,98115,1360000.0,394
3,2.0,1960.0,sqft,4400.0,sqft,98199,955000.0,398
3,2.0,1209.0,sqft,752.0,sqft,98116,725000.0,400
4,2.5,2130.0,sqft,6250.0,sqft,98136,960000.0,403
4,2.5,2220.0,sqft,3770.0,sqft,98144,1235000.0,404
4,3.0,2288.0,sqft,6550.0,sqft,98126,1105000.0,405
4,2.5,2180.0,sqft,6099.0,sqft,98115,1275000.0,408
3,2.0,1590.0,sqft,3000.0,sqft,98146,560000.0,409
4,2.0,2480.0,sqft,5996.0,sqft,98122,825000.0,413
4,3.0,3320.0,sqft,5750.0,sqft,98116,750000.0,414
3,2.0,2050.0,sqft,5000.0,sqft,98109,1265000.0,416
4,3.0,2370.0,sqft,3880.0,sqft,98115,1830000.0,417
3,3.5,1670.0,sqft,905.0,sqft,98107,1115000.0,419
3,3.0,3120.0,sqft,5996.0,sqft,98199,1350000.0,421
3,2.0,2260.0,sqft,6000.0,sqft,98199,1300000.0,422
3,3.5,1540.0,sqft,2322.0,sqft,98126,699950.0,424
3,3.5,1980.0,sqft,1659.0,sqft,98144,1055000.0,425
4,2.5,3080.0,sqft,13068.0,sqft,98117,1650000.0,427
3,2.0,1900.0,sqft,4000.0,sqft,98112,1766000.0,429
3,2.5,1610.0,sqft,1690.0,sqft,98107,895000.0,434
4,2.0,1810.0,sqft,5100.0,sqft,98117,945000.0,436
3,2.0,1096.0,sqft,43560.0,sqft,98117,875000.0,439
4,2.5,2720.0,sqft,8000.0,sqft,98136,1315000.0,441
3,2.0,1990.0,sqft,8710.0,sqft,98146,730000.0,448
3,2.0,2350.0,sqft,4400.0,sqft,98122,1140000.0,450
3,2.5,1570.0,sqft,1342.0,sqft,98103,700000.0,455
3,3.0,2650.0,sqft,8612.0,sqft,98105,1600000.0,457
3,2.5,2030.0,sqft,3999.0,sqft,98115,1439000.0,460
3,2.0,2354.0,sqft,4400.0,sqft,98115,938000.0,463
3,3.0,1120.0,sqft,4800.0,sqft,98168,525000.0,475
4,2.5,1881.0,sqft,1881.0,sqft,98133,870000.0,476
3,2.0,1340.0,sqft,2211.0,sqft,98103,925000.0,481
4,2.5,2560.0,sqft,6582.0,sqft,98116,1712000.0,482
4,2.0,2178.0,sqft,6800.0,sqft,98133,880000.0,483
3,3.0,2070.0,sqft,4227.0,sqft,98136,730000.0,486
3,2.5,2131.0,sqft,1036.0,sqft,98119,1520000.0,487
3,2.5,1395.0,sqft,1418.0,sqft,98116,725000.0,490
3,2.5,1810.0,sqft,6925.0,sqft,98125,922000.0,491
4,3.0,3120.0,sqft,9750.0,sqft,98144,1670000.0,495
3,2.0,1870.0,sqft,4000.0,sqft,98136,849000.0,496
4,3.5,2285.0,sqft,1792.0,sqft,98116,1500000.0,497
3,2.5,2783.0,sqft,7206.0,sqft,98199,1640000.0,498
4,2.0,2540.0,sqft,4700.0,sqft,98107,1280000.0,499
3,2.5,1420.0,sqft,1873.0,sqft,98103,890000.0,502
